"행정구역","2025년06월_남자 평균연령","2025년06월_여자 평균연령"
"서울특별시 강남구 도곡2동(1168065600)","43.4","42.4"
"서울특별시 강남구 개포1동(1168066000)","41.6","42.2"
"서울특별시 강남구 개포2동(1168067000)","40.4","41.4"
"서울특별시 강남구 개포3동(1168067500)","42.5","48.4"
"서울특별시 강남구 개포4동(1168069000)","43.3","44.4"
"서울특별시 강남구 세곡동(1168070000)","41.8","43.3"
"서울특별시 강남구 일원본동(1168072000)","40.5","44.2"
"서울특별시 강남구 일원1동(1168073000)","46.7","49.6"
"서울특별시 강남구 수서동(1168075000)","52.1","56.1"
"서울특별시 송파구 (1171000000)","43.3","44.4"
"서울특별시 송파구 풍납1동(1171051000)","48","50.7"
"서울특별시 송파구 풍납2동(1171052000)","44.2","45.1"
"서울특별시 송파구 거여1동(1171053100)","47.5","49.3"
"서울특별시 송파구 거여2동(1171053200)","44.9","47"
"서울특별시 송파구 마천1동(1171054000)","48.8","51"
"서울특별시 송파구 마천2동(1171055000)","49.8","52.6"
"서울특별시 송파구 방이1동(1171056100)","43.7","44.7"
"서울특별시 송파구 방이2동(1171056200)","43.2","43.2"
"서울특별시 송파구 오륜동(1171056600)","43","44.8"
"서울특별시 송파구 오금동(1171057000)","44.9","47.1"
"서울특별시 송파구 송파1동(1171058000)","43.8","44.3"
"서울특별시 송파구 송파2동(1171059000)","43.5","44.2"
"서울특별시 송파구 석촌동(1171060000)","44.1","44.7"
"서울특별시 송파구 삼전동(1171061000)","43.3","44.6"
"서울특별시 송파구 가락본동(1171062000)","44.7","45.7"
"서울특별시 송파구 가락1동(1171063100)","40.7","41.7"
"서울특별시 송파구 가락2동(1171063200)","42.6","44.1"
"서울특별시 송파구 문정1동(1171064100)","44.1","45.2"
"서울특별시 송파구 문정2동(1171064200)","43.4","42.5"
"서울특별시 송파구 장지동(1171064600)","42.9","45"
"서울특별시 송파구 위례동(1171064700)","36.5","37.9"
"서울특별시 송파구 잠실본동(1171065000)","43.3","43.9"
"서울특별시 송파구 잠실2동(1171067000)","39","40"
"서울특별시 송파구 잠실3동(1171068000)","43.8","44.2"
"서울특별시 송파구 잠실4동(1171069000)","40.7","42"
"서울특별시 송파구 잠실6동(1171071000)","44","44.9"
"서울특별시 송파구 잠실7동(1171072000)","47.9","47.6"
"서울특별시 강동구 (1174000000)","43.5","45.1"
"서울특별시 강동구 강일동(1174051500)","42.2","44.9"
"서울특별시 강동구 상일제1동(1174052500)","40.2","41"
"서울특별시 강동구 상일제2동(1174052600)","40.5","42.3"
"서울특별시 강동구 명일제1동(1174053000)","43","45.4"
"서울특별시 강동구 명일제2동(1174054000)","42.6","44"
"서울특별시 강동구 고덕제1동(1174055000)","39.4","42.3"
"서울특별시 강동구 고덕제2동(1174056000)","40.4","41.6"
"서울특별시 강동구 암사제1동(1174057000)","46","48"
